,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2023-03-31,0.08354827286102817,0.03090953406936641,0.09752311868161902,0.11627973503137441,0.11441991226112215,0.19473685645805275,0.15579261014671894,0.09681678248700312,0.06951635949280392,0.03082950828211397
2022-12-31,0.0922242202171562,0.030288066762643062,0.09885241388573782,0.13706918483697403,0.09963934615467186,0.18810642546840997,0.13243151090560126,0.11172342923540797,0.07338525896050453,0.028289013634531974
2022-09-30,0.10548218598268196,0.03277431950267923,0.09882173099810572,0.13143476448091274,0.10328179205985448,0.18902055377831095,0.12127002229440961,0.10803005003799512,0.069937384257522,0.02997414427147361
2022-06-30,0.1161337302472391,0.03600480536771606,0.10212222694815899,0.13230263559881061,0.09986604568215712,0.19397384736973045,0.09918400209316981,0.11105421569228086,0.07380166871962603,0.02567730698975661
2022-03-31,0.09352568699091583,0.034616642856640505,0.09715505172484445,0.1277845907360435,0.1008919042877249,0.19979568510660817,0.11476829824067096,0.11773582467777513,0.07601809137351502,0.02809242007143386
2021-12-31,0.08533433083875035,0.03285603231343971,0.09748318522504108,0.13566604178783911,0.0997935487735907,0.19144012992973394,0.12411639053348467,0.11901845467582664,0.07988370343866197,0.025051882242219596
2021-09-30,0.07985059723779439,0.03407591603267547,0.10011310900364825,0.13149204193725655,0.1054613813463586,0.19787725969617395,0.12221413660557685,0.11458339147575342,0.07855288842963164,0.02654250920702019
2021-06-30,0.07413593222801726,0.03445801426545893,0.1018960976362017,0.13272203813406847,0.10159025854698575,0.1962138031538885,0.13050720579996408,0.11492224985340765,0.08037785677491877,0.02338644681502496
2021-03-31,0.06803161955203385,0.03156407461856039,0.09858487543634165,0.13254136144156578,0.10470883539504973,0.19584183911929737,0.13226094684466466,0.11935795464982557,0.08039237461217272,0.028474893271454797
2020-12-31,0.05545323793222082,0.02976293188823354,0.09916242146126202,0.13948523965661314,0.10523555681066404,0.19595310026522156,0.13462538959762418,0.12478016963800652,0.0829758200180326,0.02424097004167819
2020-09-30,0.056908712294032694,0.030161503494622113,0.09923543158218381,0.1328709391745801,0.11157771364911959,0.20240373338823936,0.13938655081769577,0.11162193500799021,0.07865275249899031,0.02827818430191563
2020-06-30,0.04623624996052777,0.031213706614990865,0.097170861562107,0.1221233122983405,0.11376101754986657,0.20470292224602069,0.15282471783179416,0.11710737001726654,0.07872848599832677,0.026211748073878126
2020-03-31,0.07724458366022353,0.031506393664032545,0.10771378535062316,0.12414051580462104,0.11345552491681853,0.1999893498500068,0.11877629749862628,0.10922776713423421,0.08012250351380132,0.02824162685095793
2019-12-31,0.0827941040450073,0.029273840738482833,0.10870543807625391,0.13129807802726,0.10236298904388975,0.17903183547180296,0.13889793849388166,0.11310770221728944,0.07983369276150215,0.025255607305733525
2019-09-30,0.08464954101884223,0.031083528720075252,0.11168648204879406,0.12710943140650316,0.10579012353706159,0.18320474228317699,0.13969706303751275,0.10323314548109545,0.07545751765739829,0.028457583625134907
2019-06-30,0.08953826001413129,0.03374456774905517,0.11595548055805599,0.12728815699417714,0.1014765967944646,0.1825811429412253,0.1416097243681549,0.09915244730521952,0.07434537758125316,0.024952419968280244
2019-03-31,0.08374372921656993,0.031016372643385318,0.11528096340988091,0.12453555503960148,0.10392435692118847,0.18240410846474167,0.14635892397331698,0.10025768931356133,0.0736292780252999,0.029330261630982825
2018-12-31,0.09352332853514433,0.030518664939571855,0.11817815763928037,0.1364359228915079,0.10336497661089167,0.16904788001464935,0.12392382785267786,0.11024462545852244,0.07709618492189992,0.028139655972944176
2018-09-30,0.09609289409827208,0.030739290720367168,0.11906143549777848,0.12626137883645794,0.1042208704079162,0.17681914892021897,0.1395248038174744,0.10299459356602826,0.07036604868058814,0.030835604237827347
2018-06-30,0.09634515881089876,0.03234691771033671,0.12028578886027143,0.15210666231163564,0.10275037118553207,0.17704861638014524,0.13873684190491914,0.11675487834871463,0.026997368026239133,0.02721568119038056
2018-03-31,0.08988460308792372,0.0325966760064811,0.11699006587998377,0.15409377203004518,0.12242754710248958,0.16085607717222872,0.13475394359590184,0.11989907048197845,0.02756121262818205,0.031333714556391966
2017-12-31,0.0874697965025547,0.030128689285722956,0.11598856190909143,0.16262043095418824,0.12291750693226877,0.15754903065950565,0.12874971614049766,0.12851209618435006,0.02865969384138014,0.02843105697109186
2017-09-30,0.08338225871721357,0.030135801064970272,0.11954397498220924,0.15406342088335917,0.12883857567892343,0.16140365271730833,0.1377338340459993,0.11467473538289735,0.029255509266266688,0.03253925530964825
2017-06-30,0.08017511995350095,0.03162224128384636,0.12069210989499138,0.16063695396544367,0.1258414262041408,0.16446938698842903,0.1369707959569664,0.11150820474677876,0.029529500530045823,0.029602201564125144
2017-03-31,0.08745499643144597,0.03167831346340621,0.12080166052558891,0.16142374874963095,0.12736480461849392,0.16561194202285068,0.1260482299960155,0.11132364762733624,0.02960121277053863,0.030107436739800007
2016-12-31,0.07515992340099174,0.02864771479299199,0.11631112985601054,0.16794837593158382,0.1287900202571366,0.16119947336806018,0.1288434011259906,0.12233788678936798,0.03184085360321432,0.029649889346306267
2016-09-30,0.07397436459966808,0.03248122982339156,0.11440951519888148,0.1648383030906034,0.13012566100883802,0.16256520631176682,0.13729912646084497,0.10871798581184235,0.03196761815925183,0.03510339161526397
2016-06-30,0.07379382869998556,0.033752840413539785,0.12117576280172412,0.16357668015869065,0.1288515091251704,0.16473210758775012,0.14394795487118886,0.10850758484368005,0.032318106965250996,0.029186918578434612
2016-03-31,0.0649301100849423,0.03346091164397218,0.11740380356301952,0.16233030879795432,0.13407632939990374,0.16629413019671646,0.1426003277548168,0.11248982399927161,0.03353571680929819,0.03284989293678842
2015-12-31,0.07697617925684336,0.0310073719039401,0.11841956051719464,0.16713120536996917,0.13062737182143497,0.15677618967554452,0.13533246240378474,0.12170025805147848,0.033174678438464,0.0288547225613449
2015-09-30,0.08979836817089444,0.03344058285651892,0.12141606279002728,0.15731684820018332,0.13080655038229377,0.1527246732982333,0.13810462651512725,0.11006900207297861,0.031962584198654075,0.03431301640597429
2015-06-30,0.10051496704970346,0.0371863877134886,0.11894779104904823,0.15671235639579173,0.1281588372294184,0.1510228076272961,0.13948866816144617,0.10856175867746823,0.02927515737635894,0.03026225283010953
2015-03-31,0.09424340602885094,0.03603000501784522,0.11630265200834079,0.1516795115202351,0.13083613535847147,0.1475248880762357,0.14218643851813742,0.11376017122915984,0.03039825966547407,0.03703853257725015
2014-12-31,0.11708451823082563,0.03483510559432016,0.11383995030022923,0.15574534359591605,0.1318722437666169,0.13537623478115543,0.12757127870822724,0.12255621465358327,0.02895155679136044,0.03216755357776304
2014-09-30,0.13874476611078126,0.03709523521135852,0.11348239827019015,0.14629941997448687,0.1301604283293369,0.13244752428054773,0.13093174140241132,0.10929316494555597,0.02752376794774578,0.03402155352758603
2014-06-30,0.14429757722674313,0.04079853277259841,0.11219613940335088,0.1452477091624299,0.1286030657241671,0.1326652284394442,0.13143349366380663,0.10683092106731937,0.02743487139538228,0.03048648710798235
2014-03-31,0.14281693558414194,0.041265993679064236,0.10938042041686237,0.14354022341391426,0.13182436782894932,0.12771521331915625,0.13317521054982878,0.10496935273810323,0.028213399958758885,0.03740079137597927
2013-12-31,0.14023996957617801,0.038995660050487255,0.11240604833535871,0.15093087192246452,0.13296940067819854,0.12443515277011502,0.12897051802523576,0.11109265755071164,0.027966068379340805,0.03199365271190934
2013-09-30,0.1487880633960794,0.04027677243813878,0.1141373785152088,0.14377515695562912,0.13307150400488116,0.12416150006242449,0.13021989712900106,0.10135802998093128,0.02833671309811803,0.035288628113013115
2013-06-30,0.14566469522664643,0.04091371963429962,0.11159181579255008,0.14170816749805148,0.1305933080018605,0.12336250247147476,0.1356524967775833,0.10644006076775095,0.031870229051498986,0.03220300477828261
2013-03-31,0.14528702302803828,0.04097217111927802,0.10781330656989148,0.13013528783354433,0.13512376159513653,0.1236922031720532,0.13905789767778234,0.11106066422931031,0.03260492054889221,0.034252764226075684
2012-12-31,0.1436491738438599,0.03670942734391589,0.10636484198276594,0.1359224482392003,0.1442758009021107,0.11706540755105746,0.14141933727605924,0.11229884740889522,0.03138781735463123,0.03090689809749875
2012-09-30,0.15477381798806553,0.038981001803059974,0.11185800470593746,0.12626775450895228,0.1369415040797623,0.12023612682796632,0.1359301139297808,0.10718694712358073,0.032565768879540394,0.0352589601533599
2012-06-30,0.15858202920007106,0.039424532011474625,0.1181421899709814,0.1259354490914072,0.1346590246383428,0.12222167374636009,0.13082379679156525,0.10718313795122013,0.0321920932357589,0.03083607336281862
2012-03-31,0.15972739469305414,0.03911016868432185,0.11368922611246453,0.12327404171207389,0.13780522122387617,0.12222964862710667,0.1311259821301332,0.1078763083638003,0.03217458516509212,0.03298742328807228
2011-12-31,0.15586504620722091,0.0354531226217569,0.1147884859859994,0.1322687809014541,0.1402123171327205,0.12057736576449052,0.12390867797592958,0.11224383750523038,0.03178967244717636,0.03289269345801798
2011-09-30,0.16262523224734318,0.038765249136000476,0.1151665900268665,0.12278893454937105,0.13808551287602838,0.12056624178541192,0.13022567338942884,0.10252121057457943,0.03147592054377334,0.03777943487119408
2011-06-30,0.15832807457776898,0.03998260917874825,0.11378936542229785,0.12537061159875382,0.13917290683996647,0.12152689121974707,0.13609038004700508,0.10044563651524042,0.031538728043227805,0.03375479655724367
2011-03-31,0.15296539754144148,0.03905840157254229,0.11051253604858326,0.12578426869824,0.13889063059434842,0.1245762398706845,0.13638780797416744,0.10097545389627545,0.03281084413355762,0.03803841967015992
2010-12-31,0.13892147074421446,0.035288132340019915,0.1156220285544206,0.13342093735350413,0.14220643614417786,0.12200013759655715,0.14018241971484496,0.1048854711190837,0.03237024793946684,0.03510639350446414
